rt,trial_type,trial_index,trial_number,time_elapsed,random_id,figure,difficulty,text_response,word_count,file_name,participant_id,image_description,participant_gender,participant_major,participant_is_group_member,stimulus_complexity
28095,survey-text,21,18,507320,p0ncqkt89ht,stimuli/81.jpg,medium,looks like a lot of triangles stacked on each other,10,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0ncqkt89ht_1772138743276.csv,elk,looks like a lot of triangles stacked on each other,Female,Cognitive Behavioral Neuroscience,FALSE,81
18020,survey-text,22,19,525358,p0ncqkt89ht,stimuli/65.jpg,medium,"looks like a swan neck and head, triangles, and squares",10,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0ncqkt89ht_1772138743276.csv,elk,"looks like a swan neck and head, triangles, and squares",Female,Cognitive Behavioral Neuroscience,FALSE,65
33918,survey-text,23,20,559296,p0ncqkt89ht,stimuli/49.jpg,easy,"12 sides, triangles and rectangles
",5,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0ncqkt89ht_1772138743276.csv,elk,"12 sides, triangles and rectangles
",Female,Cognitive Behavioral Neuroscience,FALSE,49
42978,survey-text,4,1,80031,p0rhsmwrzdd,stimuli/113.jpg,hard,imagine like a really messed up crab with one arm pincer at the top left and two really wide pointy triangle legs,22,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0rhsmwrzdd_1772141316795.csv,wombat,imagine like a really messed up crab with one arm pincer at the top left and two really wide pointy triangle legs,Male,CogSci ML,TRUE,113
41900,survey-text,5,2,121931,p0rhsmwrzdd,stimuli/145.jpg,hard,A dragon/ dog mouth with two pointy ears and a big ole smile,13,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0rhsmwrzdd_1772141316795.csv,wombat,A dragon/ dog mouth with two pointy ears and a big ole smile ,Male,CogSci ML,TRUE,145
12133,survey-text,6,3,134064,p0rhsmwrzdd,stimuli/73.jpg,medium,A flowy dress with one shoulder-strap,6,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0rhsmwrzdd_1772141316795.csv,wombat,A flowy dress with one shoulder-strap,Male,CogSci ML,TRUE,73
33419,survey-text,7,4,167483,p0rhsmwrzdd,stimuli/49.jpg,easy,A quadrilateral with two more quadrilaterals cut out of the bottom,11,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0rhsmwrzdd_1772141316795.csv,wombat,A quadrilateral with two more quadrilaterals cut out of the bottom,Male,CogSci ML,TRUE,49
95900,survey-text,8,5,263382,p0rhsmwrzdd,stimuli/57.jpg,medium,a small puppy with a big head,7,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0rhsmwrzdd_1772141316795.csv,wombat,a small puppy with a big head,Male,CogSci ML,TRUE,57
16466,survey-text,9,6,279849,p0rhsmwrzdd,stimuli/105.jpg,medium,picasso's take on ferb from Phineas and ferb,8,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0rhsmwrzdd_1772141316795.csv,wombat,picasso's take on ferb from Phineas and ferb,Male,CogSci ML,TRUE,105
18849,survey-text,10,7,298699,p0rhsmwrzdd,stimuli/1.jpg,easy,"a right triangle, probably scalene",5,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0rhsmwrzdd_1772141316795.csv,wombat,"a right triangle, probably scalene",Male,CogSci ML,TRUE,1
71483,survey-text,11,8,370182,p0rhsmwrzdd,stimuli/121.jpg,hard,the letter 'H' but with very jagged edges and a fat left side,13,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0rhsmwrzdd_1772141316795.csv,wombat,the letter 'H' but with very jagged edges and a fat left side,Male,CogSci ML,TRUE,121
27200,survey-text,12,9,397382,p0rhsmwrzdd,stimuli/81.jpg,medium,like 6 different scalene triangles all put together,8,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0rhsmwrzdd_1772141316795.csv,wombat,like 6 different scalene triangles all put together,Male,CogSci ML,TRUE,81
15517,survey-text,13,10,412899,p0rhsmwrzdd,stimuli/97.jpg,medium,a dog or a small rodent with 4 legs and a big nose/muzzle,13,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0rhsmwrzdd_1772141316795.csv,wombat,a dog or a small rodent with 4 legs and a big nose/muzzle,Male,CogSci ML,TRUE,97
135736,survey-text,14,11,548634,p0rhsmwrzdd,stimuli/89.jpg,medium,an almost rotationally symmetrical figure with two triangular mouths,9,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0rhsmwrzdd_1772141316795.csv,wombat,an almost rotationally symmetrical figure with two triangular mouths,Male,CogSci ML,TRUE,89
11914,survey-text,15,12,560549,p0rhsmwrzdd,stimuli/17.jpg,easy,a pentagon pretending to be a triangle,7,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0rhsmwrzdd_1772141316795.csv,wombat,a pentagon pretending to be a triangle,Male,CogSci ML,TRUE,17
123221,survey-text,16,13,683770,p0rhsmwrzdd,stimuli/129.jpg,hard,the letter 'H' but distorted so it looks like a fish,11,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0rhsmwrzdd_1772141316795.csv,wombat,the letter 'H' but distorted so it looks like a fish,Male,CogSci ML,TRUE,129
151982,survey-text,17,14,835751,p0rhsmwrzdd,stimuli/65.jpg,medium,an 'F' that looks like a duck,7,/Users/martincz/GitHub/COGS119/group_wi26_verbal_complexity/analysis/../data/raw_data/p0rhsmwrzdd_1772141316795.csv,wombat,an 'F' that looks like a duck,Male,CogSci ML,TRUE,65
